actor_id,target_id,type,created_at
374,1167,like,2025-10-31T13:42:04.708830
525,443,open,2025-11-04T09:42:04.708830
377,1989,open,2025-11-03T06:42:04.708830
694,892,open,2025-11-02T03:42:04.708830
1719,1817,open,2025-11-03T15:42:04.708830
993,1058,open,2025-11-03T01:42:04.708830
295,255,open,2025-11-04T02:42:04.708830
1268,1422,open,2025-11-03T17:42:04.708830
1619,1630,open,2025-11-04T13:42:04.708830
250,254,open,2025-10-30T06:42:04.708830
1551,1466,pass,2025-11-04T01:42:04.708830
1242,1212,open,2025-11-05T17:42:04.708830
179,1467,like,2025-11-02T19:42:04.708830
1163,808,open,2025-11-05T19:42:04.708830
944,999,open,2025-10-30T18:42:04.708830
1659,1641,open,2025-10-31T06:42:04.708830
959,1103,like,2025-10-30T01:42:04.708830
603,563,open,2025-10-30T10:42:04.708830
50,104,open,2025-11-04T10:42:04.708830
637,655,pass,2025-11-02T01:42:04.708830
1245,1330,open,2025-11-06T00:42:04.708830
1393,1351,open,2025-10-31T13:42:04.708830
837,821,like,2025-11-02T06:42:04.708830
1855,1825,open,2025-10-30T21:42:04.708830
371,685,open,2025-10-30T23:42:04.708830
977,880,open,2025-11-04T12:42:04.708830
432,1654,open,2025-11-01T07:42:04.708830
1505,1546,open,2025-11-02T20:42:04.708830
1471,1696,pass,2025-10-30T14:42:04.708830
1458,1287,open,2025-11-03T04:42:04.708830
958,974,like,2025-11-03T12:42:04.708830
519,452,pass,2025-11-01T11:42:04.708830
853,819,open,2025-11-02T21:42:04.708830
1228,1493,open,2025-11-05T13:42:04.708830
776,785,open,2025-10-31T05:42:04.708830
791,1552,open,2025-10-31T12:42:04.708830
1958,965,open,2025-11-04T06:42:04.708830
557,474,pass,2025-11-03T08:42:04.708830
1822,39,like,2025-10-30T03:42:04.708830
1385,1437,open,2025-11-01T12:42:04.708830
1274,1213,like,2025-11-03T15:42:04.708830
1367,1503,pass,2025-10-31T07:42:04.708830
467,423,pass,2025-10-31T06:42:04.708830
508,576,open,2025-11-04T01:42:04.708830
549,637,open,2025-11-04T15:42:04.708830
1322,1706,open,2025-10-31T19:42:04.708830
1234,1986,open,2025-10-30T13:42:04.708830
1129,1137,like,2025-11-04T09:42:04.708830
328,1906,open,2025-11-03T18:42:04.708830
197,1027,open,2025-11-06T00:42:04.708830
1285,1404,open,2025-11-04T11:42:04.708830
443,150,open,2025-11-01T20:42:04.708830
1305,1449,like,2025-11-02T23:42:04.708830
1573,1553,open,2025-11-04T07:42:04.708830
994,905,open,2025-10-30T17:42:04.708830
1875,1772,open,2025-11-04T21:42:04.708830
375,451,open,2025-11-03T11:42:04.708830
201,1359,open,2025-11-02T16:42:04.708830
817,732,like,2025-11-06T00:42:04.708830
1432,1424,like,2025-10-30T06:42:04.708830
1540,1552,open,2025-11-02T10:42:04.708830
1727,1966,like,2025-11-04T05:42:04.708830
1924,603,open,2025-11-03T08:42:04.708830
448,1606,pass,2025-10-31T22:42:04.708830
233,764,open,2025-10-31T19:42:04.708830
624,699,open,2025-10-30T09:42:04.708830
120,1839,open,2025-11-05T23:42:04.708830
274,312,pass,2025-11-05T17:42:04.708830
1729,1582,open,2025-10-30T01:42:04.708830
1501,1391,pass,2025-10-31T06:42:04.708830
1911,1709,open,2025-10-31T00:42:04.708830
1314,1333,open,2025-11-04T21:42:04.708830
780,627,open,2025-10-30T16:42:04.708830
1783,1823,open,2025-11-05T06:42:04.708830
1119,1061,like,2025-11-02T08:42:04.708830
383,497,open,2025-11-04T12:42:04.708830
1343,1403,open,2025-11-03T17:42:04.708830
229,187,open,2025-11-02T23:42:04.708830
340,1084,like,2025-11-04T07:42:04.708830
1824,1753,open,2025-11-05T04:42:04.708830
822,742,open,2025-11-01T11:42:04.708830
1891,960,like,2025-11-01T16:42:04.708830
1510,278,open,2025-11-02T16:42:04.708830
197,47,open,2025-11-03T08:42:04.708830
1545,1458,open,2025-11-05T21:42:04.708830
350,446,open,2025-11-05T04:42:04.708830
990,1405,pass,2025-11-03T20:42:04.708830
1313,1195,pass,2025-11-05T22:42:04.708830
740,717,open,2025-11-03T02:42:04.708830
1597,1609,open,2025-11-01T07:42:04.708830
661,700,open,2025-10-31T17:42:04.708830
656,527,open,2025-10-31T20:42:04.708830
915,798,open,2025-11-03T09:42:04.708830
894,851,open,2025-11-06T00:42:04.708830
1146,1342,superlike,2025-10-30T03:42:04.708830
921,915,open,2025-11-05T15:42:04.708830
696,603,open,2025-11-06T00:42:04.708830
173,1019,open,2025-11-01T05:42:04.708830
1314,1219,open,2025-11-04T14:42:04.708830
1124,1070,open,2025-10-31T05:42:04.708830
1860,1917,open,2025-11-05T02:42:04.708830
1539,1495,open,2025-11-05T18:42:04.708830
875,1057,open,2025-11-05T18:42:04.708830
150,76,open,2025-11-05T18:42:04.708830
367,409,open,2025-11-05T09:42:04.708830
1382,1190,pass,2025-11-01T00:42:04.708830
1643,160,open,2025-11-01T21:42:04.708830
557,694,like,2025-11-01T09:42:04.708830
1161,893,open,2025-11-04T00:42:04.708830
1292,1297,pass,2025-11-03T08:42:04.708830
1699,1584,like,2025-11-05T19:42:04.708830
631,602,like,2025-11-03T10:42:04.708830
1111,1236,open,2025-11-04T18:42:04.708830
205,1543,open,2025-11-02T12:42:04.708830
1431,1166,like,2025-11-01T03:42:04.708830
900,853,open,2025-11-02T11:42:04.708830
265,288,like,2025-11-05T01:42:04.708830
992,1124,like,2025-11-01T06:42:04.708830
865,841,pass,2025-10-31T22:42:04.708830
1782,1870,like,2025-11-04T16:42:04.708830
1812,1903,open,2025-11-03T09:42:04.708830
1442,717,open,2025-10-31T16:42:04.708830
1790,2000,like,2025-11-02T15:42:04.708830
1766,389,open,2025-11-02T07:42:04.708830
1303,1239,open,2025-11-03T05:42:04.708830
1074,1245,like,2025-11-02T05:42:04.708830
1452,1278,pass,2025-11-04T06:42:04.708830
1269,1245,open,2025-10-30T09:42:04.708830
1485,696,pass,2025-10-30T09:42:04.708830
33,335,open,2025-10-30T13:42:04.708830
498,435,like,2025-11-03T23:42:04.708830
1463,1242,open,2025-11-01T23:42:04.708830
587,632,open,2025-11-01T05:42:04.708830
509,482,open,2025-11-01T21:42:04.708830
1631,1618,like,2025-10-30T15:42:04.708830
159,1133,open,2025-11-01T05:42:04.708830
830,341,open,2025-11-03T10:42:04.708830
683,1994,open,2025-11-03T13:42:04.708830
1755,639,pass,2025-10-30T08:42:04.708830
324,116,open,2025-11-04T00:42:04.708830
504,554,open,2025-11-04T15:42:04.708830
189,213,open,2025-11-02T10:42:04.708830
363,1992,open,2025-11-04T06:42:04.708830
1638,1574,open,2025-11-03T18:42:04.708830
400,441,open,2025-11-03T05:42:04.708830
746,744,open,2025-10-30T02:42:04.708830
1932,1850,pass,2025-11-04T12:42:04.708830
173,138,open,2025-10-30T22:42:04.708830
543,601,open,2025-10-30T05:42:04.708830
592,342,open,2025-10-31T04:42:04.708830
1089,1083,pass,2025-11-02T21:42:04.708830
776,648,pass,2025-11-05T06:42:04.708830
