user_id,age_min,age_max,max_distance_km,genders,orientations
1,18,23,100,['male'],"['straight', 'gay', 'bi', 'queer']"
2,27,33,10,['male'],"['straight', 'gay', 'bi', 'queer']"
3,18,23,25,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
4,22,30,75,['male'],"['straight', 'gay', 'bi', 'queer']"
5,22,29,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
6,25,35,10,['male'],"['straight', 'gay', 'bi', 'queer']"
7,18,23,75,['male'],"['straight', 'gay', 'bi', 'queer']"
8,20,30,75,['male'],"['straight', 'gay', 'bi', 'queer']"
9,18,21,50,['female'],"['straight', 'gay', 'bi', 'queer']"
10,22,31,10,['female'],"['straight', 'gay', 'bi', 'queer']"
11,30,39,75,['male'],"['straight', 'gay', 'bi', 'queer']"
12,33,40,100,['male'],"['straight', 'gay', 'bi', 'queer']"
13,18,23,75,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
14,18,21,10,['female'],"['straight', 'gay', 'bi', 'queer']"
15,18,29,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
16,33,42,50,['female'],"['straight', 'gay', 'bi', 'queer']"
17,29,38,100,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
18,18,20,50,['male'],"['straight', 'gay', 'bi', 'queer']"
19,38,43,50,['male'],"['straight', 'gay', 'bi', 'queer']"
20,35,47,75,['male'],"['straight', 'gay', 'bi', 'queer']"
21,20,29,50,"['male', 'female']","['straight', 'gay', 'bi', 'queer']"
22,18,25,50,['female'],"['straight', 'gay', 'bi', 'queer']"
23,23,32,50,['female'],"['straight', 'gay', 'bi', 'queer']"
24,21,29,25,['male'],"['straight', 'gay', 'bi', 'queer']"
25,23,33,50,['male'],"['straight', 'gay', 'bi', 'queer']"
26,19,29,10,['female'],"['straight', 'gay', 'bi', 'queer']"
27,26,36,75,['male'],"['straight', 'gay', 'bi', 'queer']"
28,22,32,25,['female'],"['straight', 'gay', 'bi', 'queer']"
29,27,40,75,['female'],"['straight', 'gay', 'bi', 'queer']"
